#file_name	CUBHE	ConsistencyHE	CPB	Ori	OGT	doublingT	AACB_HE	AACB_consistency
Acaryochloris_marina	0.602834862765158	0.546781597481885	-0.406484565388746	3125510.0	25.0	45.0	0.0092058458506231	0.0105059111160249
Acidovorax_avenae	0.663076474380453	0.472848836783258	-0.175180434419098	27627.0	28.0	11.0	0.0237516041730038	0.0088396194229621
Acinetobacter_ADP1	0.836726979005505	0.519002448863078	-0.414569394872218	3598158.0	30.0	0.5	0.0368799612406545	0.0110858240211924
Actinobacillus_pleuropneumoniae	0.843605983253537	0.519748098817433	-0.465377764841291	1883252.0	37.0	0.75	0.0242171717517198	0.0094916221145484
Aeromonas_hydrophila	1.08650511271624	0.547827529872647	-0.277584762137892	4729112.0	28.0	0.35	0.0220700982143247	0.0078352891361448
Aeropyrum_pernix	0.563697975682051	0.551528248462205	-0.428505969291384		95.0	4.0	0.016128227303275	0.017770204268333
Agrobacterium_tumefaciens_C58	0.795218378901685	0.497626031455781	-0.357027360222727	2841174.0	26.0	3.0	0.0262787982918559	0.0085299727228125
Alcanivorax_borkumensis	0.676781445864267	0.541100362932044	-0.304950266440088	3119635.0	28.0	10.0	0.0361474094833984	0.0095815095783793
Anabaena_variabilis	0.598463718227373	0.555050913111613	-0.514096336386853	1502.0	20.0	8.0	0.0183988862305655	0.0093913314857829
Anaeromyxobacter_dehalogenans	0.491363002071383	0.407247576752022	0.0082355152015682	1396.0	30.0	9.2	0.0235611891380311	0.0091807030168731
Anaplasma_marginale	0.619677781337061	0.546627751666365	-0.342457154084821	1147944.0	37.0	21.6	0.0134536614060471	0.0085209744947506
Anaplasma_phagocytophilum	0.6388655119874	0.544156146883432	-0.362894365074336	20557.0	37.0	7.0	0.0219060492184478	0.0085868663879652
Aquifex_aeolicus	0.562236991708503	0.534104295318468	-0.541093895092014	209842.0	95.0	1.8	0.0201860458193243	0.0101248104464515
Archaeoglobus_fulgidus	0.577736684026784	0.540061625028384	-0.427171582291805		85.0	4.0	0.0079872600714769	0.0143651450980465
Arcobacter_butzleri	0.534557968549054	0.436123002623229	-0.47466076641263	2341023.0	37.0	0.66	0.0318709732750725	0.007489675881016
Arthrobacter_aurescens	0.779724902590481	0.475497815494101	-0.373615856460448	1420.0	30.0	2.0	0.0229175370881767	0.0089583340663185
Azoarcus_sp_EbN1	0.567629443450246	0.508688896352757	-0.288985496341026	1677877.0	28.0	4.3	0.026950161858596	0.0109252747475879
Bacillus_anthracis_Ames	0.866358749262757	0.500473592812961	-0.372511042271508	1748.0	37.0	0.5	0.0234595546806277	0.0074619261527806
Bacillus_cereus_ATCC_14579	0.862318214801817	0.498474765506197	-0.373864065556494	1622.0	30.0	0.3	0.0188049159162383	0.0071310674680961
Bacillus_halodurans	0.795875179919908	0.53737733466532	-0.37731667057031	4202339.0	30.0	0.6	0.0160553320146039	0.0083152621093669
Bacillus_licheniformis_ATCC14580	0.961878636843677	0.545033303454252	-0.426049038793026	1848.0	37.0	0.58	0.0268595816927989	0.0081258783978527
Bacillus_subtilis_168	0.947254543274157	0.575319557794668	-0.400358931682589	1751.0	37.0	0.43	0.0199556783165119	0.0073718671229765
Bacillus_thuringiensis_konkukian_97-27	0.875884684052366	0.500249411097579	-0.372791271331046	1750.0	30.0	0.42	0.0241912185666186	0.0074942322261453
Bacteroides_fragilis	0.794337286648414	0.519578717431644	-0.355354104239914	110151.0	37.0	0.63	0.0201639881882996	0.0098593874734918
Bacteroides_thetaiotaomicron_VPI5482	0.779760752302522	0.555395861093094	-0.365472490911514	4171767.0	37.0	1.47	0.0231135223002022	0.008887883783333
